datetime,symbol,Open,High,Low,Close,Volume,Standard Deviation(12M)
2011-07-19 10:00:00,BMFBOVESPA:JBSS3,3.89105064,3.92728016,3.74613256,3.75337846,7365264.20039648,0.6772196362037614
2011-07-20 10:00:00,BMFBOVESPA:JBSS3,3.77511617,3.79685389,3.67367351,3.68091942,5918239.85732278,0.6766345829301743
2011-07-21 10:00:00,BMFBOVESPA:JBSS3,3.70265713,3.8258375,3.69541122,3.76787027,7484503.97458968,0.6749567456932708
2011-07-22 10:00:00,BMFBOVESPA:JBSS3,3.77511617,3.8258375,3.73888665,3.76787027,5003930.24617703,0.6734241683481808
2011-07-25 10:00:00,BMFBOVESPA:JBSS3,3.74613256,3.74613256,3.68091942,3.70990303,4471077.50525118,0.6726416790466131
2011-07-26 10:00:00,BMFBOVESPA:JBSS3,3.70990303,3.73164075,3.62295218,3.62295218,5981447.97836501,0.6710973330009126
2011-07-27 10:00:00,BMFBOVESPA:JBSS3,3.62295218,3.64468989,3.44905048,3.44905048,9235700.14905436,0.6693461431324883
2011-07-28 10:00:00,BMFBOVESPA:JBSS3,3.4925259,3.55773904,3.36209962,3.39832915,6807293.82185123,0.6666851082336939
2011-07-29 10:00:00,BMFBOVESPA:JBSS3,3.38383734,3.45629638,3.33311601,3.36209962,5098880.43673828,0.6640964793289679
2011-08-01 10:00:00,BMFBOVESPA:JBSS3,3.44905048,3.45629638,3.30413239,3.34036191,5617242.23288371,0.6622142940101181
2011-08-02 10:00:00,BMFBOVESPA:JBSS3,3.33311601,3.39108324,3.20268973,3.20268973,6208196.76192916,0.6604255388809219
2011-08-03 10:00:00,BMFBOVESPA:JBSS3,3.18819792,3.20268973,3.00705031,3.06501755,9958591.28010062,0.6593406167086155
2011-08-04 10:00:00,BMFBOVESPA:JBSS3,2.9925585,3.14472249,2.86937813,3.07950935,14498397.26631037,0.6563515963981408
2011-08-05 10:00:00,BMFBOVESPA:JBSS3,3.13747659,3.20268973,3.00705031,3.05777164,20060849.92702429,0.6554097314414351
2011-08-08 10:00:00,BMFBOVESPA:JBSS3,2.97082079,3.07950935,2.76793547,2.90560765,13617071.80566482,0.655394628999778
2011-08-09 10:00:00,BMFBOVESPA:JBSS3,2.94908308,3.02154212,2.76793547,2.97082079,10643667.94571987,0.6556881190803184
2011-08-10 10:00:00,BMFBOVESPA:JBSS3,2.92009946,3.01429621,2.85488632,2.97082079,7393142.01797406,0.6561537814573708
2011-08-11 10:00:00,BMFBOVESPA:JBSS3,2.9853126,3.10849297,2.97806669,3.05777164,5824117.72074899,0.6559311256907077
2011-08-12 10:00:00,BMFBOVESPA:JBSS3,3.05777164,3.11573888,2.95632898,3.00705031,5927624.46918058,0.656970977522187
2011-08-15 10:00:00,BMFBOVESPA:JBSS3,3.04327983,3.09400116,3.01429621,3.08675526,5215222.02197539,0.656282063145704
2011-08-16 10:00:00,BMFBOVESPA:JBSS3,2.97082079,3.02154212,2.94908308,2.9853126,6864291.53798756,0.6558074704789447
2011-08-17 10:00:00,BMFBOVESPA:JBSS3,2.9925585,3.02878802,2.97806669,3.00705031,7177571.96324052,0.6543477879401428
2011-08-18 10:00:00,BMFBOVESPA:JBSS3,2.95632898,2.9925585,2.89836174,2.9925585,5538163.07708197,0.6558890054463986
2011-08-19 10:00:00,BMFBOVESPA:JBSS3,2.96357488,3.07950935,2.94908308,3.05777164,4785876.02948114,0.6577615791966189
2011-08-22 10:00:00,BMFBOVESPA:JBSS3,3.10124707,3.12298478,2.97806669,2.97806669,3648405.86871686,0.6602579942595471
2011-08-23 10:00:00,BMFBOVESPA:JBSS3,3.01429621,3.1519684,2.92734536,3.01429621,8112030.88808096,0.6629020754045845
2011-08-24 10:00:00,BMFBOVESPA:JBSS3,3.04327983,3.08675526,2.93459127,2.9853126,6777207.86030712,0.665493792572737
2011-08-25 10:00:00,BMFBOVESPA:JBSS3,2.9925585,3.02878802,2.92009946,2.92009946,5329079.44525015,0.6698601944655599
2011-08-26 10:00:00,BMFBOVESPA:JBSS3,2.92734536,2.96357488,2.8259027,2.90560765,5510975.30449393,0.6741944921225054
2011-08-29 10:00:00,BMFBOVESPA:JBSS3,2.93459127,2.9925585,2.92009946,2.9925585,5884427.65283513,0.6778199900755025
2011-08-30 10:00:00,BMFBOVESPA:JBSS3,2.97082079,2.99980441,2.94908308,2.95632898,5969855.22254068,0.6821855797742934
2011-08-31 10:00:00,BMFBOVESPA:JBSS3,2.9853126,3.09400116,2.97082079,3.09400116,9843491.77584468,0.6842079936650265
2011-09-01 10:00:00,BMFBOVESPA:JBSS3,3.1519684,3.22442744,3.11573888,3.18095202,9033930.9941117,0.6861134051861837
2011-09-02 10:00:00,BMFBOVESPA:JBSS3,3.11573888,3.12298478,3.02154212,3.07226345,10763183.73790888,0.6877172743531336
2011-09-05 10:00:00,BMFBOVESPA:JBSS3,3.02878802,3.03603393,2.9853126,2.9853126,3382600.53874452,0.6900289744117276
2011-09-06 10:00:00,BMFBOVESPA:JBSS3,2.94908308,3.04327983,2.94183717,3.04327983,5785613.21033243,0.6924183873482672
2011-09-08 10:00:00,BMFBOVESPA:JBSS3,3.09400116,3.13023068,3.06501755,3.07950935,4374195.1887192,0.6947256872356655
2011-09-09 10:00:00,BMFBOVESPA:JBSS3,3.03603393,3.07950935,2.9925585,3.02154212,2930897.08858904,0.6969216183287948
2011-09-12 10:00:00,BMFBOVESPA:JBSS3,2.99980441,3.00705031,2.93459127,2.9853126,3983491.71563941,0.6993443979227353
2011-09-13 10:00:00,BMFBOVESPA:JBSS3,3.01429621,3.02878802,2.9853126,2.9853126,2955324.6812189,0.7016412477378063
2011-09-14 10:00:00,BMFBOVESPA:JBSS3,2.9853126,3.05777164,2.97806669,3.01429621,3869496.28336675,0.7037595977090841
2011-09-15 10:00:00,BMFBOVESPA:JBSS3,3.04327983,3.05777164,2.9925585,3.02154212,3571396.84788375,0.7057088601604503
2011-09-16 10:00:00,BMFBOVESPA:JBSS3,3.04327983,3.07950935,3.02878802,3.07226345,3774960.11979922,0.706950166491194
2011-09-19 10:00:00,BMFBOVESPA:JBSS3,3.02154212,3.06501755,3.00705031,3.04327983,3146053.11632885,0.7081083382962379
2011-09-20 10:00:00,BMFBOVESPA:JBSS3,3.05052574,3.06501755,2.9853126,2.9925585,4494401.02589776,0.7087754055821596
2011-09-21 10:00:00,BMFBOVESPA:JBSS3,3.00705031,3.07950935,2.96357488,2.96357488,5296785.33973949,0.7092710670529004
2011-09-22 10:00:00,BMFBOVESPA:JBSS3,2.90560765,2.93459127,2.70272233,2.78242728,7914125.98507975,0.7100066841321833
2011-09-23 10:00:00,BMFBOVESPA:JBSS3,2.76793547,2.8186568,2.70272233,2.8186568,5721853.05329857,0.7109272735681572
2011-09-26 10:00:00,BMFBOVESPA:JBSS3,2.86937813,2.87662403,2.76068956,2.8259027,3619976.01514765,0.7115220134977308
2011-09-27 10:00:00,BMFBOVESPA:JBSS3,2.88386994,2.89111584,2.75344366,2.78242728,4016061.83914589,0.711392735976384
2011-09-28 10:00:00,BMFBOVESPA:JBSS3,2.80416499,2.84039451,2.72446004,2.75344366,3729693.16848514,0.7124354104939907
2011-09-29 10:00:00,BMFBOVESPA:JBSS3,2.81141089,2.84039451,2.75344366,2.8186568,3260462.57559524,0.713472369979369
2011-09-30 10:00:00,BMFBOVESPA:JBSS3,2.79691908,2.79691908,2.63026328,2.63026328,4519518.66351716,0.7156230655310453
2011-10-03 10:00:00,BMFBOVESPA:JBSS3,2.61577147,2.64475509,2.50708291,2.57954195,5241719.74957388,0.7190967701332467
2011-10-04 10:00:00,BMFBOVESPA:JBSS3,2.53606653,2.60852557,2.47809929,2.55780424,5880287.38289786,0.7224452478078107
2011-10-05 10:00:00,BMFBOVESPA:JBSS3,2.57954195,2.6592469,2.54331243,2.63026328,4360946.32491996,0.7252284669077124
2011-10-06 10:00:00,BMFBOVESPA:JBSS3,2.68098461,2.72446004,2.63750919,2.6592469,6510160.4493536,0.7282621934422252
2011-10-07 10:00:00,BMFBOVESPA:JBSS3,2.68098461,2.71721414,2.58678786,2.63026328,4894765.12883117,0.7307294648517123
2011-10-10 10:00:00,BMFBOVESPA:JBSS3,2.66649281,2.8259027,2.64475509,2.8259027,4220867.19204253,0.7308993667599836
2011-10-11 10:00:00,BMFBOVESPA:JBSS3,2.79691908,2.92734536,2.76793547,2.89836174,4822448.41392697,0.7311649597673631
2011-10-13 10:00:00,BMFBOVESPA:JBSS3,2.91285355,3.02878802,2.87662403,2.9853126,7356569.63352823,0.7309502918646873
2011-10-14 10:00:00,BMFBOVESPA:JBSS3,2.9925585,3.02154212,2.94183717,2.97806669,1878578.47953449,0.7301009435626381
2011-10-17 09:00:00,BMFBOVESPA:JBSS3,2.94908308,2.97806669,2.89836174,2.92009946,4493572.97191031,0.7300597616226749
2011-10-18 09:00:00,BMFBOVESPA:JBSS3,2.88386994,3.11573888,2.85488632,3.05052574,6317913.91526665,0.7290439005571097
2011-10-19 09:00:00,BMFBOVESPA:JBSS3,3.06501755,3.13023068,3.02154212,3.09400116,4286283.4570513,0.7285379379262732
2011-10-20 09:00:00,BMFBOVESPA:JBSS3,3.08675526,3.14472249,2.9925585,3.03603393,3922905.76555745,0.7283377001006187
2011-10-21 09:00:00,BMFBOVESPA:JBSS3,3.07226345,3.18095202,3.06501755,3.18095202,3020326.91923394,0.7277547158330157
2011-10-24 09:00:00,BMFBOVESPA:JBSS3,3.19544382,3.47078819,3.19544382,3.46354229,7087176.06961026,0.7266616291129996
2011-10-25 09:00:00,BMFBOVESPA:JBSS3,3.36934553,3.47078819,3.28964058,3.46354229,8202426.78171122,0.7260618872405021
2011-10-26 09:00:00,BMFBOVESPA:JBSS3,3.48528,3.6591817,3.48528,3.62295218,6090613.09571087,0.7253411686832576
2011-10-27 09:00:00,BMFBOVESPA:JBSS3,3.73888665,3.78960798,3.64468989,3.75337846,6815850.37972157,0.7246540056524776
2011-10-28 09:00:00,BMFBOVESPA:JBSS3,3.68816532,3.9852474,3.62295218,3.97800149,10278910.16424692,0.7228933042518109
2011-10-31 09:00:00,BMFBOVESPA:JBSS3,3.90554245,3.90554245,3.70990303,3.73888665,5077627.05106033,0.7215889694986982
2011-11-01 09:00:00,BMFBOVESPA:JBSS3,3.47803409,3.51426362,3.42731276,3.42731276,7232913.57140195,0.721130325134576
2011-11-03 09:00:00,BMFBOVESPA:JBSS3,3.49977181,3.60846037,3.46354229,3.52150952,6523685.33114866,0.7202448231092119
2011-11-04 09:00:00,BMFBOVESPA:JBSS3,3.54324723,3.6519358,3.48528,3.62295218,4965839.7627542,0.7192919857419037
2011-11-07 09:00:00,BMFBOVESPA:JBSS3,3.61570628,3.6519358,3.56498495,3.59396856,4447891.9936025,0.7184020864310994
2011-11-08 09:00:00,BMFBOVESPA:JBSS3,3.62295218,3.64468989,3.50701771,3.58672266,2947044.14134437,0.7175007375242063
2011-11-09 09:00:00,BMFBOVESPA:JBSS3,3.50701771,3.55049314,3.43455867,3.47803409,4571410.04673087,0.7163507664324836
