datetime,symbol,Open,High,Low,Close,Volume,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M)
2013-09-27 10:00:00,BMFBOVESPA:ENGI11,7.598296,7.872109,7.598296,7.700976,3639.0,8.245657263747596,-5.98508550854647,14.170736263443008,23.393994358244274,7.651200704002246,5.286804117552039,6.542174566839673,9.382133139568346,0.988955534591734,-1.5171690907233233,1.5683779131915447,1.6873373812026506,0.7034534843559465,-1.7855321274575404,1.267986085360476,1.9209691553391584
2013-09-30 10:00:00,BMFBOVESPA:ENGI11,7.700976,7.700976,7.700976,7.700976,2472.0,8.245657263747596,-5.908284177660772,9.98099569314735,35.47361554716311,7.160258136944801,5.353466974586495,6.389281949400363,9.339997791097144,1.0567631973284994,-1.4846285364847889,0.9491238259657624,2.98763294031178,0.9943530122274925,-1.3795539696191772,1.0332619567056511,2.735868838760142
2013-10-01 10:00:00,BMFBOVESPA:ENGI11,7.57776,7.872109,6.995909,6.995909,9631.0,1.2273908445318993,-14.45300754293148,-0.0883735258166212,17.033770938711385,8.05177163138976,6.287867653991647,7.034644188618587,10.172646459832514,0.0681130673330877,-2.623523525621885,-0.5702906362472226,0.9298150755712612,-0.24295839919541207,-2.047369426695333,0.23856430488798808,1.563531545220744
2013-10-02 10:00:00,BMFBOVESPA:ENGI11,7.071207,7.529843,7.071207,7.256031,3205.0,-6.060484050546908,-11.199586154635416,2.6844742898619223,22.48882522138124,7.28661615047157,6.276600230747059,6.732997195970036,9.731886547911689,-0.9249072398802224,-2.110486965727248,-0.1849973351917816,1.531848269907071,-1.1516152196779326,-1.772756477947493,0.45112227486098544,1.8613526965028553
2013-10-03 10:00:00,BMFBOVESPA:ENGI11,6.982218,7.516153,6.982218,6.982218,10506.0,-19.367594684109143,-15.790947604476822,-3.3861796183305994,11.131363771001409,8.337884442118181,6.871107284022264,7.016197847089971,10.033027118266372,-2.4042735066101324,-2.5966382816177016,-1.0437110919860348,0.3532683606629517,-2.6905104099335495,-1.8218280682780275,0.1941671772528091,1.2853544483114037
2013-10-09 10:00:00,BMFBOVESPA:ENGI11,7.290257,7.297103,7.290257,7.297103,4079.0,-15.731223698858566,-11.922243055449936,2.798453635551171,16.14318085849879,8.1163880428992,6.7348425026367815,6.701916235745041,9.552263957276006,-2.0218579488036896,-2.0761291435934592,-0.1738050350459282,0.8932249518373662,-2.1742735266493947,-1.3707497923858387,0.25068061637922684,1.4184290515705325
2013-10-10 10:00:00,BMFBOVESPA:ENGI11,7.050671,7.050671,7.050671,7.050671,1447.0,-15.918369634656557,-14.96537007830522,-0.6731745607777142,7.1199419510747015,8.662783559239841,7.232092283877013,6.946372370887185,9.840545211446196,-1.9161461974414145,-2.3546780460802306,-0.6686929394698979,-0.0506920492479253,-2.151492940714907,-1.4961633071742093,0.08157136844716358,0.8776339446315367
2013-10-11 10:00:00,BMFBOVESPA:ENGI11,7.050671,7.050671,7.050671,7.050671,4369.0,-18.57708226512011,-14.96537007830522,-0.6731745607777142,7.1199419510747015,8.975142199412934,7.4733906233384895,6.956566775970208,9.818270505804575,-2.145893866915469,-2.2791486528731792,-0.6689400370481527,-0.0517150558209147,-2.438194978966031,-1.4526432880418438,-0.08144683685968626,0.8702158923290627
2013-10-14 10:00:00,BMFBOVESPA:ENGI11,6.982218,6.982218,6.982218,6.982218,4369.0,-19.367594684109143,-15.790947604476822,-1.6375110305677751,6.079944284699828,9.09691671943881,7.803222796944606,7.050662332368235,9.894086653066838,-2.204268310325428,-2.289088180819163,-0.797859440627463,-0.1573329476005746,-2.5171356827619684,-1.60939846877215,-0.24060368999949247,0.7809968887319061
2013-10-17 10:00:00,BMFBOVESPA:ENGI11,7.666749,7.666749,7.666749,7.666749,1447.0,-8.571431637943897,-7.758323949848813,7.037196608651265,11.028936098851,7.852838417811792,7.1283889907109845,6.346969342955595,8.987942071695427,-1.179366311619934,-1.380508328785219,0.4768362362012847,0.3744543866457449,-1.4309766008962608,-1.1720711411907312,0.42030759064643924,0.9215112967153005
