,BRADESCO FUNDO DE INVESTIMENTO EM ACOES - PETROBRAS 2010,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-06-03,1.5422931389380112,125.91510731619614,5.016697066416758,13.213048453989714,25.450345543910203,25.450345543910203,2.9333151810742124,6.123253188557323,6.329147053994936,6.329147053994936,1.3864358940635122,1.700142041891573,3.2018043843302086,2.753096137128665,1.276585588568601,0.6158766406597597,2.154198097894989,-0.1162370821271639,3.185727218025973,16.903385340058943,9.407069297087206,-149.9069830969258,-0.3507033552836043,1.68303247755965,2.8781564111149254,3.767597442311082,2.7880321848314686,6.359789880014954,2026.4690786551612,1742.475030567273
2022-06-06,0.0513689287331864,125.97978855793772,4.2488075733951405,12.93168302745764,25.5147880425082,25.5147880425082,2.64292044453347,6.148243707713187,6.359433795670663,6.359433795670663,1.2482267369963973,1.6462793562001812,3.193709052037901,2.744341417147978,0.9444627138377768,0.5879039607815172,2.152764912639465,-0.1349488629501876,3.492953098398037,17.216632933448494,9.434463168654682,-129.32645132039113,-0.3329860165555241,2.0240373805995238,3.2739213906436557,3.8203486830938256,2.106311219268619,6.183437128529282,2031.0181279069145,1745.245755506957
2022-06-07,1.0452549065453676,127.29659847909504,2.097560564422158,10.270076562885192,26.826737522962524,26.826737522962524,2.3473860044042194,6.129279362022576,6.339515441186418,6.339515441186418,0.4889340532382513,1.2159360357107725,3.4077013518071726,2.9541152581539563,-0.0012184847613472,0.5820481678610783,2.1675088205396342,-0.1587946155547412,-941.9214667725035,12.804458566735669,9.966822341860166,-117.93636219142095,-0.4013722584299397,1.6687476502442913,3.5714324541493423,3.927577455793044,0.6645048962608798,4.552977338943284,2160.31753387334,1872.7659294111404
2022-06-08,-0.4409569064085961,126.73527533647824,0.9407938944969284,13.867345798691243,26.267486264682304,26.267486264682304,2.307245707085544,6.21524529726505,6.40481549331698,6.40481549331698,-0.0039223027913061,1.7767234048237506,3.283583141406966,2.830939910272042,-1.0636288342642155,0.5371828412546883,2.0984420647791766,-0.1778805965018967,0.0085083404902153,20.55682151086427,10.022075200770855,-101.93156619961314,-0.1873005450297238,2.067856413443008,3.775787714626476,3.8791078329318434,-0.005136346832149864,6.746110336455808,2103.0744177677775,1813.1647797959758
2022-06-09,-1.2889748092879685,125.1016895629093,-1.6008230585096537,14.58734424359067,24.63993017440941,24.63993017440941,2.3514676846621105,6.297944786080125,6.507500524528032,6.507500524528032,-1.0847126183876203,1.8665550449102388,2.979639642083845,2.530513659897247,-1.287598129305237,0.4806177270411042,2.0395847119906345,-0.1955403720717464,1.9809493437676888,24.45906580557446,9.50684049540678,-84.21441973662914,-0.2060468946351827,2.0781044952097822,3.46347935048452,3.7778643124744726,-1.414489211763911,7.181497171678659,1939.0006533765138,1646.7318969106684
2022-06-10,-1.249164267488978,123.53896395886444,-3.692450169614996,15.957049568060574,23.08297270364748,23.08297270364748,2.4862662950472414,6.328950277679526,6.5943423518701385,6.5943423518701385,-1.867174803293083,2.0726748076821098,2.7022961362080986,2.2555056230265054,-0.8411415004051459,0.4282034832637073,1.954908407897323,-0.2095618424672531,5.519040230630683,30.63463122634262,9.115447959763468,-70.97463965621093,-0.1345814816036128,2.2780395647537546,3.643340470667512,3.714833936478976,-2.5498317901668672,8.01379439093021,1781.98658582921,1487.3576254804927
2022-06-13,-1.1445333484980114,122.1250193179663,-3.5521358159058347,15.638273927716758,21.674247034731533,21.674247034731533,2.678419844474994,6.286896946298652,6.664331822568234,6.664331822568234,-1.6808341067090409,2.0346714143718523,2.460555051874307,2.014913601340177,0.1416276285972206,0.3481923104443945,1.7893344328213068,-0.2155933208342029,-31.787437742696508,36.73765651346391,9.164276410604662,-62.28417829077109,0.2574540159149786,2.692569785246317,3.762469929786368,3.708444285734564,-2.4727625617574676,7.8145858781324264,1639.7955333386974,1342.8052833136906
2022-06-14,0.9919527797532356,123.33644184186504,-0.9746919545510454,19.974375807402875,22.88119811043636,22.88119811043636,2.733991184103984,6.088668922809255,6.600689150045571,6.600689150045571,-0.7039289579698612,2.81187241763851,2.6651338218974367,2.211616591961905,0.4967305396079539,0.2540542047430247,1.709473334066682,-0.2338538721345666,-3.874405561703636,67.38939913038453,10.290724956655971,-62.4244256012296,0.3754773490037461,3.2671345103082605,3.9041017908347366,3.8363855438448304,-1.057072688183352,10.459075890880433,1759.1719901617896,1459.8193642623712
2022-06-15,-1.5658703481564396,121.40515307059208,-4.141243792762428,15.80351633008576,20.957037865765685,20.957037865765685,2.926357498610702,5.944654481073973,6.694168007251538,6.694168007251538,-1.7397352872823977,2.1777651429012312,2.338508905187904,1.8882581229013704,0.701543810426502,0.2082222037298098,1.6870095453429563,-0.2532230073692756,-7.25697715220575,62.17425943812112,9.279361543031026,-49.91772764678446,-0.0278405521409777,2.8432682837325074,3.6070892001057553,3.5810322647316872,-2.795385269611167,7.908843879622543,1565.4371497781685,1264.0317115759196
2022-06-17,-5.400371325094666,114.84882399698054,-11.02573993227466,5.608048861658192,14.424908677178983,14.424908677178983,3.8569609949848656,6.091937016759054,7.044953149372797,7.044953149372797,-3.1053872957694497,0.4506196599242238,1.2927270691524524,0.8619726527387694,0.956510429340921,0.2297022893469503,1.523005364364176,-0.2380127867398418,-12.521931080623176,11.950889103353216,5.979756769213421,-25.513574450194493,-0.3881816404104456,2.093024465213452,3.185790977962782,3.1658018085988977,-6.179166374767648,1.6964855383274675,910.7201637105035,607.2556954585218
