,FUNDO DE INVESTIMENTO EM ACOES CAIXA PETROBRAS PRE-SAL,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-08-08,0.0898999277573198,203.2478760663776,3.276020898754008,21.21496489677993,37.44122662807672,30.01346728990298,2.319758998298732,7.716819234259263,12.767001545731349,11.009219707533155,0.975279829667469,2.335684197571058,2.41999231670563,1.4923045167773354,2.390219528152783,6.683992209439643,5.317092843723233,4.115619660887892,0.9465298622502728,2.6965999026026406,5.810702682107797,3.9918917804473257,0.7788245741254344,1.1605496242401327,1.5582317245983728,1.4027264394841736,0.7570876648311219,1802.4052740971752,9.383381494549427,1642.9108295745784
2023-08-09,0.7314511920961664,204.7345350787752,2.5396300386334767,24.61179641816375,36.180642500355184,31.3849728386512,2.2630638375907672,7.543064259928099,12.733525675810114,11.0135469468239,0.675098363766624,2.8400513389260333,2.3275035093799863,1.6164275931217336,2.2034716479447485,6.632544783503179,5.252879710773591,4.026374189004304,0.693356184220462,3.229935183294588,5.642110105137647,4.4214969467083325,1.1358588536111769,1.637987183833399,1.647270271358407,1.5564205590737823,0.5137462488193996,2142.2689751013904,9.070818297636078,1780.2601182987771
2023-08-10,0.5138873627599905,205.78663998175048,4.970283153810822,22.51628970004752,37.51257997495375,35.19455204278613,2.2747943831635777,7.331932273231999,12.73647024311375,11.043440759599145,1.7409095084235795,2.636274827651365,2.431688428971612,1.9571950591628244,2.0433282927694547,6.724941101934871,5.243217681256827,4.007113900349308,1.9381179154478865,2.874224204640977,5.906893285555333,5.393948918936555,1.4194838484394945,1.3458333277077634,1.6162032674736084,1.9384279558083888,1.3316900292680873,1932.8988489966168,9.480603575725885,2161.4167690844793
2023-08-11,-0.2131270981612587,205.34805288755385,4.948260109093263,24.94778660047166,33.18046875383149,27.237180822707806,2.1901350177615906,7.207982407613772,12.823427722317712,11.14808600233152,1.7989555100891554,3.019193109139941,2.077516307150184,1.2252133448612552,1.9371771923920973,6.855222524504331,5.220418843389317,3.971292256410145,2.0338642605926114,3.1745564404480007,5.103207425667094,3.439380145762532,1.48681185607224,1.7801542374568795,1.3919703713539997,1.3679703691679037,1.3257316571101208,2176.229081586943,8.310519691254584,1365.8783739717537
2023-08-14,0.2400959647368195,205.84108527620248,5.742425861002989,24.56250869910911,33.10648531865077,27.512000513838903,2.0566703548874536,6.982502877463633,12.86370286369472,11.20597386631627,2.302696929128897,3.0617700677787605,2.065405360500336,1.2435858615481763,1.1348194964367295,6.765213413917591,5.097699442198397,3.8884376010405854,4.173252684942589,3.160109962594248,5.211911991245357,3.583853489458069,1.7482402350512607,1.9439821927081984,1.502990785027521,1.6698062633812012,1.6189211304179956,2137.8818308397217,8.318534397818617,1393.5590665029267
2023-08-15,0.6621723846257144,207.20410809911536,5.534768386213859,24.88680753768184,34.49042413256026,27.399566018274868,1.8421665115758947,6.731939086770073,12.854232044416536,11.220119230954866,2.459060175468305,3.2241709601810924,2.1747361969444188,1.2321743721523266,0.5066540158881628,6.733620954472791,5.037413518377485,3.847423814417261,8.941009373539815,3.2233656536390947,5.549388313850293,3.593350781130424,1.6610967180524512,2.145422998846957,1.5632113569391133,1.7194025681570737,1.6088346918487206,2170.492250927209,8.754683868401859,1382.5143368876059
2023-08-16,2.035672935944844,211.42210604985496,7.5819068278269315,28.84071706544179,37.02622013477641,27.535975226594694,1.777271293210097,6.4182265501124185,12.68892625819732,11.09724026144234,3.701688093753932,3.998088438822253,2.403057840080522,1.25828939563958,-0.435931475578152,6.55331623353636,4.98392504926764,3.826276095491727,-15.091601212601658,3.915672073999589,6.118114422977796,3.6493811197498016,2.2615034801113176,2.6142296436870542,1.8439273794758084,1.801170202693734,2.7302561575972053,2566.0637367746494,9.574543344930339,1396.3539741837496
2023-08-17,-0.3039563504612541,210.7794751322375,5.421491947989092,25.5402350101112,36.05488746118039,25.07540062709153,1.6604099658445584,6.193155158788535,12.811704757302566,11.227521692244109,2.662147544432103,3.6107541371396175,2.304358053346496,1.0247098680873574,-0.8337745985706433,6.45874507786453,4.914767396452838,3.80991844162565,-5.301500334624511,3.4622763930074263,6.006948580292,3.019737154084161,2.191999352943548,2.330232147375861,1.84126917777134,1.683782714373296,2.154133730179391,2236.1960611543273,9.3129821960341,1150.4952272207404
2023-08-18,0.2406058915557229,211.2866229675959,3.678987989956575,24.05525872093781,38.49142704198146,30.84508881604087,1.6625504297215634,5.980656770201724,12.865040998463062,11.29616754961003,1.611692183397392,3.491052971629799,2.4843417574660625,1.5294238050548563,-0.9096900426054998,6.551802343172442,4.9477708277018015,3.855437092150995,-2.945530242819456,3.1867245829948083,6.459708761175659,4.481107366901148,1.850114351614928,2.040105342389723,1.9176947126867885,2.0790054017288067,1.352016405807425,2087.8789589910607,10.084408607499173,1727.6627556261765
2023-08-21,-0.6673253926333778,209.8766536812956,0.8392466732448568,24.11196662286846,41.18724798301633,27.73128644928767,1.710680539772404,5.829362960010358,13.018141617268132,11.463108623430196,-0.0926266681978408,3.591696532095644,2.6623495457330764,1.2356868206669354,-0.5883590716985488,6.858088290216663,4.884873903363443,3.808061079021426,0.2693162158485209,3.052935722286326,7.095135740793346,3.719691453448583,1.580457617343461,2.3113976063810675,2.014162040513666,1.7802670773652225,-0.0973400101137558,2093.7302727796,11.017093125163978,1416.4812249846188
