,ITAU ACOES PETROBRAS - FUNDO DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-09-20,0.1217516813261321,224.17054846306343,5.188122958720152,10.877256510507848,72.10780820684468,42.965177875505226,2.2991402039042512,4.776406540215118,11.96585683323728,12.015501215159972,1.827983693649615,1.620568770669279,5.483814428224396,2.450203565026655,5.254852518405385,29.7502107462423,6.589566116365007,4.00311275050466,0.7997923419222016,0.2601828720178329,9.957945210567392,7.354382888479872,1.63547711497624,1.684622321418329,3.288862383408792,3.2775501828058657,420.2790802151222,774.0495275093117,35.70720276666138,2944.0423912967067
2023-09-21,-1.3657029200401571,221.10904473683337,4.000262844323983,10.260757207947591,69.15553739265012,38.185492858486434,2.306776726781933,4.94595217944145,12.048135347306808,12.286006627920887,1.3077578667609686,1.441100268735858,5.201634970348957,2.00754573848768,2.780298430377133,27.04693483631727,6.581597572242897,3.8307609649158416,1.085029354529035,0.2635275700585922,9.522004568366764,6.438595483979989,1.6060307813561647,1.9011069267511065,3.3313615015926348,3.0264728086884345,301.67054113101904,712.7613014947776,35.94294967942218,2466.4720248913964
2023-09-22,0.6981092296013625,222.6526273856246,5.507112599907655,10.281641268015266,67.78458877748459,49.7174404171131,2.263329321104416,5.023441224028916,11.88364024517234,12.309454515765998,1.999412907818346,1.4237479193283429,5.158586658232229,2.9408816592573697,2.568997658032892,25.62903124205206,6.787267081572158,3.810417489720941,1.7615157589224877,0.2790629861515881,9.032028249841296,9.500441649382156,1.7656557937881172,1.9101349936316447,3.292107601477957,4.228012432259782,452.5329859259903,715.2113990579393,35.158815213294766,3620.0649020879027
2023-09-25,0.615279034305094,224.0225623212578,5.155587065644252,9.832662435994738,65.94954475922336,51.84206146280659,2.171597147429792,5.115713781611087,11.74231792619747,12.337264424308673,1.9228147315978783,1.3110100043877249,5.06471369022965,3.1067868712262,2.748942993720141,25.115521969172555,6.985982415035115,3.8042305119442985,1.518976201293694,0.267036136278925,8.51297281078862,10.075428137160545,2.0156477903977708,2.222183595661809,3.2741865091273823,4.242664108301336,417.55789861739345,670.6751947276296,34.10850934370357,3832.9251140288247
2023-09-26,-2.6378477951023327,218.1131881005348,2.0366677705516376,12.327831023633811,59.88017470796102,46.80778582170769,2.1361760588388945,5.313258307927093,11.966444449283896,12.752117319634248,0.4954808461087582,1.7325596956309446,4.462966652632956,2.6112492222775847,1.8817594542524507,22.5892248096748,6.938141851544162,3.694475676938617,0.5624705743759594,0.4075189509313346,7.697427304091902,9.013175168845674,1.7629316751329296,3.1829581064488184,3.040227605164002,3.741155098602486,105.84343210707678,920.5537196790752,30.795193507443468,3329.895643328745
2023-09-27,3.5432706363149213,225.8415286484313,5.738232892468424,14.474508337708114,63.709511101936165,53.08436204515482,2.0708889987121983,5.229436128079586,11.506349499399072,12.420354769478212,2.2993864203975485,2.1715211291954564,4.974550183522814,3.1866652914361704,1.6458685838743066,21.10912623456624,7.116489948858822,3.7125756549965967,2.8931678315291043,0.5379583654821156,8.043138320330508,10.660931151113797,2.6733996579978543,4.3165816517359765,3.3940299998771946,4.226093980363707,476.1774041789505,1135.5831045902898,33.157140028094304,3957.951345121992
2023-09-28,-0.4850356487415941,224.74611672482348,7.941819918193552,13.670518792696528,66.5346773209503,52.20691654657376,2.01936472988629,5.347699415424944,11.506990061508704,12.578377839251305,3.450162089105113,1.9738315655232257,5.220115153753356,3.077189213280954,1.5891255449638877,21.054715900706537,7.441962758252424,3.814207772659133,4.384257529060104,0.5013346159062466,8.071501450012148,10.147860555727355,2.5068091553468688,4.005623732875709,3.349153009816769,4.045094214360627,696.7135635129665,1055.5457909095855,34.89630738318384,3870.604860751631
2023-09-29,0.9656564792174692,226.9163921627664,5.721603956450448,14.802936621727882,60.51594608485996,51.778577324918416,1.6390555023637998,5.4070721800986,11.324114320791516,12.560520102029264,2.897213793533393,2.162259283783033,4.7732488614257,3.04777904021274,1.5830778412036928,20.778613060790825,7.792013765619298,3.880716345365652,2.999659325788135,0.5626695095239522,6.936950756795349,9.864593671436856,2.1346736027914064,4.269961402086343,2.905855139521176,3.879142944500429,474.86942098152053,1169.149201950316,32.118021557637014,3828.168990113558
2023-10-02,-1.8207328796175148,222.78485080141704,5.141069472919789,14.070954458514285,59.83365333320286,36.90520806445077,1.5084861367966873,5.564744792785615,11.473206425535796,12.882548528267163,2.764317238196375,1.970104006396541,4.652078482373178,1.817365637317218,1.608264744905478,19.19944388643701,7.773609628831086,3.786748901919108,2.5928157940018863,0.5710126853510517,6.866084005312552,6.182691702763547,2.3403164629109434,4.148584079367343,3.016461537571924,2.887967640479544,416.99342315273384,1096.312601084123,36.90106306679247,2341.230101634424
2023-10-03,-1.1345240611964624,220.2573030643744,-0.3065077308657944,13.350170715484532,57.78725214152429,38.0760667410445,1.1123604995071448,5.64332875598486,11.509475586775451,13.11910051195058,-1.146991913831921,1.815587703388252,4.459941612958119,1.874148300535104,1.9233238367645304,16.642993137060536,7.670686162677849,3.686774178647177,-0.6633664460515569,0.615631948602309,6.691916215076312,6.669011644766205,0.90800023474179,4.766126458650431,2.9325520647793226,3.616724293109183,-127.58684982007313,1024.5958295543433,35.48883531130873,2458.713992902138
